MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
03/03/2025 09:45:12.039,22.93,61.70,1.16.3,Free_feed,7,3.49,2,0,Pellet,Left,0,1,4,0,Timed_out,798403098,NaN
03/03/2025 09:45:24.770,22.94,61.60,1.16.3,Free_feed,7,3.49,NaN,0,PelletInWell,Left,0,1,4,0,NaN,NaN,NaN
03/03/2025 09:45:26.879,22.96,61.58,1.16.3,Free_feed,7,3.49,4,0,Pellet,Left,0,1,5,0,1.99,15,NaN
03/03/2025 09:45:32.668,22.95,61.57,1.16.3,Free_feed,7,3.49,NaN,0,PelletInWell,Left,0,1,5,0,NaN,NaN,NaN
03/03/2025 09:46:09.655,23.01,61.29,1.16.3,Free_feed,7,3.49,1,0,Pellet,Left,0,1,6,0,36.95,43,NaN
03/03/2025 09:46:15.975,23.03,61.22,1.16.3,Free_feed,7,3.49,NaN,0,PelletInWell,Left,0,1,6,0,NaN,NaN,NaN
03/03/2025 09:48:37.945,23.13,60.45,1.16.3,Free_feed,7,3.49,NaN,0,RightWithPellet,Left,0,2,6,0,NaN,NaN,0.16
03/03/2025 09:48:38.649,23.15,60.41,1.16.3,Free_feed,7,3.49,NaN,0,RightWithPellet,Left,0,3,6,0,NaN,NaN,0.16
03/03/2025 09:48:39.209,23.15,60.43,1.16.3,Free_feed,7,3.49,NaN,0,RightWithPellet,Left,0,4,6,0,NaN,NaN,0.13
03/03/2025 09:48:45.172,23.15,60.38,1.16.3,Free_feed,7,3.49,1,0,Pellet,Left,0,4,7,0,Timed_out,156,NaN
03/03/2025 09:48:53.690,23.17,60.35,1.16.3,Free_feed,7,3.49,NaN,0,PelletInWell,Left,0,4,7,0,NaN,NaN,NaN
03/03/2025 09:54:11.456,23.40,59.90,1.16.3,Free_feed,7,3.49,2,0,Pellet,Left,0,4,8,0,Timed_out,326,NaN
03/03/2025 09:54:17.844,23.40,59.86,1.16.3,Free_feed,7,3.49,NaN,0,PelletInWell,Left,0,4,8,0,NaN,NaN,NaN
03/03/2025 09:54:29.569,23.41,59.83,1.16.3,Free_feed,7,3.49,NaN,0,LeftWithPellet,Left,1,4,8,0,NaN,NaN,0.61
03/03/2025 09:57:13.772,23.58,59.93,1.16.3,Free_feed,7,3.50,NaN,0,RightWithPellet,Left,1,5,8,0,NaN,NaN,0.18
03/03/2025 09:57:25.984,23.59,59.85,1.16.3,Free_feed,7,3.50,1,0,Pellet,Left,1,5,9,0,Timed_out,194,NaN
03/03/2025 09:57:34.711,23.59,59.66,1.16.3,Free_feed,7,3.50,NaN,0,PelletInWell,Left,1,5,9,0,NaN,NaN,NaN
03/03/2025 10:02:23.719,23.75,59.35,1.16.3,Free_feed,7,3.50,3,0,Pellet,Left,1,5,10,0,Timed_out,298,NaN
03/03/2025 10:02:32.261,23.77,59.40,1.16.3,Free_feed,7,3.51,NaN,0,PelletInWell,Left,1,5,10,0,NaN,NaN,NaN
03/03/2025 10:08:17.939,23.85,59.03,1.16.3,Free_feed,7,3.51,3,0,Pellet,Left,1,5,11,0,Timed_out,354,NaN
03/03/2025 10:08:24.456,23.85,59.08,1.16.3,Free_feed,7,3.51,NaN,0,PelletInWell,Left,1,5,11,0,NaN,NaN,NaN
03/03/2025 10:08:46.646,23.85,59.37,1.16.3,Free_feed,7,3.51,NaN,0,RightWithPellet,Left,1,6,11,0,NaN,NaN,0.30
03/03/2025 10:13:54.829,23.78,59.19,1.16.3,Free_feed,7,3.51,2,0,Pellet,Left,1,6,12,0,Timed_out,337,NaN
03/03/2025 10:14:01.342,23.78,59.17,1.16.3,Free_feed,7,3.51,NaN,0,PelletInWell,Left,1,6,12,0,NaN,NaN,NaN
03/03/2025 10:14:13.074,23.78,59.00,1.16.3,Free_feed,7,3.52,2,0,Pellet,Left,1,6,13,0,11.73,19,NaN
03/03/2025 10:14:23.489,23.80,58.92,1.16.3,Free_feed,7,3.51,NaN,0,PelletInWell,Left,1,6,13,0,NaN,NaN,NaN
03/03/2025 10:14:26.232,23.81,58.94,1.16.3,Free_feed,7,3.51,3,0,Pellet,Left,1,6,14,0,2.68,13,NaN
03/03/2025 10:14:32.747,23.81,58.94,1.16.3,Free_feed,7,3.52,NaN,0,PelletInWell,Left,1,6,14,0,NaN,NaN,NaN
03/03/2025 10:14:42.472,23.80,58.92,1.16.3,Free_feed,7,3.51,1,0,Pellet,Left,1,6,15,0,9.74,16,NaN
03/03/2025 10:14:48.807,23.81,59.04,1.16.3,Free_feed,7,3.51,NaN,0,PelletInWell,Left,1,6,15,0,NaN,NaN,NaN
03/03/2025 10:15:21.799,23.84,59.15,1.16.3,Free_feed,7,3.52,1,0,Pellet,Left,1,6,16,0,33.01,39,NaN
03/03/2025 10:15:28.403,23.84,59.00,1.16.3,Free_feed,7,3.51,NaN,0,PelletInWell,Left,1,6,16,0,NaN,NaN,NaN
03/03/2025 10:17:47.372,23.85,59.21,1.16.3,Free_feed,7,3.51,2,0,Pellet,Left,1,6,17,0,Timed_out,146,NaN
03/03/2025 10:17:53.886,23.85,59.19,1.16.3,Free_feed,7,3.52,NaN,0,PelletInWell,Left,1,6,17,0,NaN,NaN,NaN
03/03/2025 10:28:41.412,23.86,58.43,1.16.3,Free_feed,7,3.53,1,0,Pellet,Left,1,6,18,0,Timed_out,654,NaN
03/03/2025 10:28:47.790,23.86,58.41,1.16.3,Free_feed,7,3.53,NaN,0,PelletInWell,Left,1,6,18,0,NaN,NaN,NaN
03/03/2025 10:29:03.592,23.87,58.63,1.16.3,Free_feed,7,3.53,1,0,Pellet,Left,1,6,19,0,15.77,22,NaN
03/03/2025 10:29:10.106,23.84,58.65,1.16.3,Free_feed,7,3.53,NaN,0,PelletInWell,Left,1,6,19,0,NaN,NaN,NaN
03/03/2025 11:01:18.921,23.75,58.73,1.16.3,Free_feed,7,3.56,1,0,Pellet,Left,1,6,20,0,Timed_out,1936,NaN
03/03/2025 11:01:25.246,23.74,58.73,1.16.3,Free_feed,7,3.56,NaN,0,PelletInWell,Left,1,6,20,0,NaN,NaN,NaN
03/03/2025 11:01:29.974,23.76,58.80,1.16.3,Free_feed,7,3.56,1,0,Pellet,Left,1,6,21,0,4.59,11,NaN
03/03/2025 11:01:36.367,23.74,58.87,1.16.3,Free_feed,7,3.56,NaN,0,PelletInWell,Left,1,6,21,0,NaN,NaN,NaN
03/03/2025 11:01:54.923,23.73,58.84,1.16.3,Free_feed,7,3.55,NaN,0,RightWithPellet,Left,1,7,21,0,NaN,NaN,0.15
03/03/2025 11:02:19.284,23.73,58.71,1.16.3,Free_feed,7,3.56,2,0,Pellet,Left,1,7,22,0,42.88,49,NaN
03/03/2025 11:02:25.603,23.75,58.69,1.16.3,Free_feed,7,3.56,NaN,0,PelletInWell,Left,1,7,22,0,NaN,NaN,NaN
03/03/2025 11:04:01.901,23.73,58.72,1.16.3,Free_feed,7,3.55,1,0,Pellet,Left,1,7,23,0,Timed_out,103,NaN
03/03/2025 11:04:10.625,23.75,58.68,1.16.3,Free_feed,7,3.56,NaN,0,PelletInWell,Left,1,7,23,0,NaN,NaN,NaN
03/03/2025 11:08:07.190,23.72,58.77,1.16.3,Free_feed,7,3.56,NaN,0,LeftWithPellet,Left,2,7,23,0,NaN,NaN,0.96
03/03/2025 11:08:08.494,23.72,58.76,1.16.3,Free_feed,7,3.56,NaN,0,LeftWithPellet,Left,3,7,23,0,NaN,NaN,0.40
03/03/2025 11:09:37.624,23.72,58.83,1.16.3,Free_feed,7,3.56,NaN,0,RightWithPellet,Left,3,8,23,0,NaN,NaN,0.03
03/03/2025 11:09:39.733,23.72,58.81,1.16.3,Free_feed,7,3.56,NaN,0,RightWithPellet,Left,3,9,23,0,NaN,NaN,0.54
