MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
03/01/2025 10:49:04.329,23.14,62.75,1.16.3,Free_feed,5,4.16,2,0,Pellet,Left,0,3,1,0,Timed_out,NaN,NaN
03/01/2025 10:49:10.714,23.14,62.78,1.16.3,Free_feed,5,4.16,NaN,0,PelletInWell,Left,0,3,1,0,NaN,NaN,NaN
03/01/2025 10:49:49.099,23.10,62.87,1.16.3,Free_feed,5,4.16,1,0,Pellet,Left,0,3,2,0,38.39,45,NaN
03/01/2025 10:49:55.300,23.11,62.86,1.16.3,Free_feed,5,4.16,NaN,0,PelletInWell,Left,0,3,2,0,NaN,NaN,NaN
03/01/2025 10:50:19.452,23.13,62.84,1.16.3,Free_feed,5,4.16,1,0,Pellet,Left,0,3,3,0,24.04,30,NaN
03/01/2025 10:50:25.769,23.12,62.79,1.16.3,Free_feed,5,4.16,NaN,0,PelletInWell,Left,0,3,3,0,NaN,NaN,NaN
03/01/2025 10:50:46.187,23.16,62.78,1.16.3,Free_feed,5,4.16,2,0,Pellet,Left,0,3,4,0,20.39,27,NaN
03/01/2025 10:50:52.508,23.15,62.78,1.16.3,Free_feed,5,4.16,NaN,0,PelletInWell,Left,0,3,4,0,NaN,NaN,NaN
03/01/2025 10:53:51.787,23.35,62.56,1.16.3,Free_feed,5,4.16,1,0,Pellet,Left,0,3,5,0,Timed_out,186,NaN
03/01/2025 10:53:58.117,23.34,62.52,1.16.3,Free_feed,5,4.16,NaN,0,PelletInWell,Left,0,3,5,0,NaN,NaN,NaN
03/01/2025 10:55:50.966,23.46,62.31,1.16.3,Free_feed,5,4.16,NaN,0,RightWithPellet,Left,0,4,5,0,NaN,NaN,0.42
03/01/2025 11:23:11.602,23.12,62.50,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,4,6,0,Timed_out,1760,NaN
03/01/2025 11:23:17.970,23.13,62.58,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,4,6,0,NaN,NaN,NaN
03/01/2025 11:23:38.737,23.17,62.55,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,4,7,0,20.73,27,NaN
03/01/2025 11:23:45.057,23.17,62.52,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,4,7,0,NaN,NaN,NaN
03/01/2025 11:24:03.860,23.24,62.31,1.16.3,Free_feed,5,4.17,1,0,Pellet,Left,0,4,8,0,18.81,25,NaN
03/01/2025 11:24:12.387,23.24,62.31,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,0,4,8,0,NaN,NaN,NaN
03/01/2025 11:24:26.941,23.26,62.29,1.16.3,Free_feed,5,4.17,2,0,Pellet,Left,0,4,9,0,14.56,23,NaN
03/01/2025 11:24:32.730,23.30,62.31,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,0,4,9,0,NaN,NaN,NaN
03/01/2025 11:25:27.166,23.27,62.35,1.16.3,Free_feed,5,4.17,1,0,Pellet,Left,0,4,10,0,54.47,60,NaN
03/01/2025 11:25:33.486,23.27,62.35,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,0,4,10,0,NaN,NaN,NaN
03/01/2025 11:37:08.650,23.00,62.46,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,4,11,0,Timed_out,702,NaN
03/01/2025 11:37:14.964,23.01,62.49,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,4,11,0,NaN,NaN,NaN
03/01/2025 11:39:03.508,23.03,62.39,1.16.3,Free_feed,5,4.17,1,0,Pellet,Left,0,4,12,0,Timed_out,115,NaN
03/01/2025 11:39:09.823,23.03,62.39,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,4,12,0,NaN,NaN,NaN
03/01/2025 11:39:31.792,22.99,62.55,1.16.3,Free_feed,5,4.18,NaN,0,RightWithPellet,Left,0,5,12,0,NaN,NaN,0.31
03/01/2025 11:41:09.296,22.92,62.64,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,13,0,Timed_out,125,NaN
03/01/2025 11:41:15.503,22.91,62.65,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,13,0,NaN,NaN,NaN
03/01/2025 11:41:36.949,22.88,62.73,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,14,0,21.41,28,NaN
03/01/2025 11:41:43.275,22.88,62.72,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,14,0,NaN,NaN,NaN
03/01/2025 11:42:08.841,22.87,62.75,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,15,0,25.46,32,NaN
03/01/2025 11:42:15.155,22.87,62.71,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,15,0,NaN,NaN,NaN
03/01/2025 11:42:43.722,22.86,62.78,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,16,0,28.57,35,NaN
03/01/2025 11:42:52.091,22.85,62.77,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,16,0,NaN,NaN,NaN
03/01/2025 12:03:37.496,22.65,62.60,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,0,5,17,0,Timed_out,1254,NaN
03/01/2025 12:03:47.896,22.64,62.61,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,17,0,NaN,NaN,NaN
03/01/2025 12:03:55.660,22.63,62.57,1.16.3,Free_feed,5,4.18,3,0,Pellet,Left,0,5,18,0,7.70,18,NaN
03/01/2025 12:04:01.974,22.63,62.65,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,18,0,NaN,NaN,NaN
03/01/2025 12:04:29.335,22.62,62.62,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,19,0,27.40,34,NaN
03/01/2025 12:04:35.687,22.61,62.64,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,19,0,NaN,NaN,NaN
03/01/2025 12:04:47.896,22.62,62.62,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,20,0,12.15,18,NaN
03/01/2025 12:04:54.213,22.62,62.61,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,20,0,NaN,NaN,NaN
03/01/2025 12:05:03.187,22.62,62.66,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,21,0,8.93,15,NaN
03/01/2025 12:05:08.983,22.62,62.65,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,21,0,NaN,NaN,NaN
03/01/2025 12:05:44.962,22.63,62.56,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,22,0,35.94,42,NaN
03/01/2025 12:05:51.295,22.63,62.64,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,22,0,NaN,NaN,NaN
03/01/2025 12:08:31.509,22.60,62.76,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,23,0,Timed_out,167,NaN
03/01/2025 12:08:37.675,22.59,62.77,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,23,0,NaN,NaN,NaN
03/01/2025 12:11:48.145,22.53,63.29,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,24,0,Timed_out,196,NaN
03/01/2025 12:11:56.539,22.55,63.39,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,24,0,NaN,NaN,NaN
03/01/2025 12:12:50.742,22.54,63.77,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,0,5,25,0,54.13,63,NaN
03/01/2025 12:12:56.956,22.54,63.74,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,25,0,NaN,NaN,NaN
03/01/2025 12:13:44.949,22.53,63.78,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,0,5,26,0,47.98,54,NaN
03/01/2025 12:13:51.303,22.54,63.78,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,0,5,26,0,NaN,NaN,NaN
03/01/2025 12:14:44.209,22.57,63.98,1.16.3,Free_feed,5,4.18,NaN,0,LeftWithPellet,Left,1,5,26,0,NaN,NaN,0.26
03/01/2025 12:16:33.558,22.58,64.18,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,1,5,27,0,Timed_out,169,NaN
03/01/2025 12:16:44.082,22.57,64.19,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,5,27,0,NaN,NaN,NaN
03/01/2025 12:18:06.945,22.52,64.35,1.16.3,Free_feed,5,4.18,3,0,Pellet,Left,1,5,28,0,Timed_out,93,NaN
03/01/2025 12:18:13.165,22.53,64.31,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,5,28,0,NaN,NaN,NaN
03/01/2025 12:19:23.808,22.49,64.34,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,1,5,29,0,Timed_out,77,NaN
03/01/2025 12:19:34.334,22.48,64.29,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,5,29,0,NaN,NaN,NaN
03/01/2025 12:22:19.053,22.47,64.31,1.16.3,Free_feed,5,4.18,3,0,Pellet,Left,1,5,30,0,Timed_out,175,NaN
03/01/2025 12:22:27.436,22.48,64.29,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,5,30,0,NaN,NaN,NaN
03/01/2025 12:25:58.535,22.50,64.16,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,1,5,31,0,Timed_out,220,NaN
03/01/2025 12:26:04.872,22.50,64.18,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,5,31,0,NaN,NaN,NaN
03/01/2025 12:26:17.090,22.53,64.17,1.16.3,Free_feed,5,4.18,NaN,0,RightWithPellet,Left,1,6,31,0,NaN,NaN,0.06
03/01/2025 12:26:20.903,22.52,64.12,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,1,6,32,0,15.98,22,NaN
03/01/2025 12:26:27.287,22.53,64.15,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,6,32,0,NaN,NaN,NaN
03/01/2025 12:26:50.636,22.53,64.09,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,1,6,33,0,23.29,30,NaN
03/01/2025 12:26:56.957,22.53,64.10,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,6,33,0,NaN,NaN,NaN
03/01/2025 12:27:11.314,22.54,64.03,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,1,6,34,0,14.36,21,NaN
03/01/2025 12:27:22.260,22.52,64.01,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,6,34,0,NaN,NaN,NaN
03/01/2025 12:28:39.338,22.58,63.97,1.16.3,Free_feed,5,4.17,4,0,Pellet,Left,1,6,35,0,Timed_out,88,NaN
03/01/2025 12:28:46.054,22.56,63.95,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,1,6,35,0,NaN,NaN,NaN
03/01/2025 12:28:50.166,22.58,63.95,1.16.3,Free_feed,5,4.18,NaN,0,LeftWithPellet,Left,2,6,35,0,NaN,NaN,0.58
03/01/2025 12:30:59.711,22.62,63.99,1.16.3,Free_feed,5,4.17,NaN,0,RightWithPellet,Left,2,7,35,0,NaN,NaN,0.15
03/01/2025 12:31:01.616,22.61,64.02,1.16.3,Free_feed,5,4.17,NaN,0,RightWithPellet,Left,2,8,35,0,NaN,NaN,0.20
03/01/2025 12:31:06.724,22.61,64.03,1.16.3,Free_feed,5,4.18,NaN,0,RightWithPellet,Left,2,9,35,0,NaN,NaN,0.16
03/01/2025 12:31:09.882,22.61,64.01,1.16.3,Free_feed,5,4.18,NaN,0,RightWithPellet,Left,2,10,35,0,NaN,NaN,0.92
03/01/2025 12:31:12.194,22.61,64.02,1.16.3,Free_feed,5,4.18,NaN,0,RightWithPellet,Left,2,11,35,0,NaN,NaN,0.12
03/01/2025 12:31:23.374,22.59,64.04,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,2,11,36,0,Timed_out,164,NaN
03/01/2025 12:31:29.890,22.60,64.04,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,2,11,36,0,NaN,NaN,NaN
03/01/2025 12:36:34.195,22.48,64.39,1.16.3,Free_feed,5,4.18,NaN,0,RightWithPellet,Left,2,12,36,0,NaN,NaN,0.04
03/01/2025 12:39:39.615,22.40,64.76,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,2,12,37,0,Timed_out,496,NaN
03/01/2025 12:39:46.000,22.41,64.76,1.16.3,Free_feed,5,4.18,NaN,0,PelletInWell,Left,2,12,37,0,NaN,NaN,NaN
03/01/2025 12:41:04.275,22.38,64.83,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,2,12,38,0,Timed_out,85,NaN
03/01/2025 12:41:12.668,22.41,64.83,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,2,12,38,0,NaN,NaN,NaN
03/01/2025 12:43:14.199,22.36,64.85,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,2,12,39,0,Timed_out,130,NaN
03/01/2025 12:43:20.597,22.34,64.83,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,2,12,39,0,NaN,NaN,NaN
03/01/2025 12:44:39.552,22.30,64.99,1.16.3,Free_feed,5,4.18,2,0,Pellet,Left,2,12,40,0,Timed_out,85,NaN
03/01/2025 12:44:45.750,22.29,65.00,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,2,12,40,0,NaN,NaN,NaN
03/01/2025 12:44:59.895,22.29,65.03,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,2,12,41,0,14.01,20,NaN
03/01/2025 12:45:06.209,22.30,65.00,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,2,12,41,0,NaN,NaN,NaN
03/01/2025 12:45:23.588,22.30,64.96,1.16.3,Free_feed,5,4.18,1,0,Pellet,Left,2,12,42,0,17.37,24,NaN
03/01/2025 12:45:29.939,22.31,64.91,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,2,12,42,0,NaN,NaN,NaN
03/01/2025 12:45:37.456,22.30,64.93,1.16.3,Free_feed,5,4.17,1,0,Pellet,Left,2,12,43,0,7.43,14,NaN
03/01/2025 12:45:43.773,22.31,64.89,1.16.3,Free_feed,5,4.17,NaN,0,PelletInWell,Left,2,12,43,0,NaN,NaN,NaN
