MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
02/27/2025 09:24:51.850,23.38,62.42,1.16.3,Free_feed,2,4.18,1,0,Pellet,Left,1,1,4,0,Timed_out,1502,NaN
02/27/2025 09:24:58.570,23.36,62.67,1.16.3,Free_feed,2,4.18,NaN,0,PelletInWell,Left,1,1,4,0,NaN,NaN,NaN
02/27/2025 09:26:08.087,23.39,62.17,1.16.3,Free_feed,2,4.18,NaN,0,LeftWithPellet,Left,2,1,4,0,NaN,NaN,0.14
02/27/2025 09:26:10.596,23.39,62.15,1.16.3,Free_feed,2,4.18,1,0,Pellet,Left,2,1,5,0,Timed_out,79,NaN
02/27/2025 09:26:17.120,23.39,62.18,1.16.3,Free_feed,2,4.18,NaN,0,PelletInWell,Left,2,1,5,0,NaN,NaN,NaN
02/27/2025 09:47:50.151,23.37,61.54,1.16.3,Free_feed,2,4.18,1,0,Pellet,Left,2,1,6,0,Timed_out,1299,NaN
02/27/2025 09:47:56.867,23.35,61.53,1.16.3,Free_feed,2,4.18,NaN,0,PelletInWell,Left,2,1,6,0,NaN,NaN,NaN
02/27/2025 09:48:03.583,23.38,61.57,1.16.3,Free_feed,2,4.18,1,0,Pellet,Left,2,1,7,0,6.71,14,NaN
02/27/2025 09:48:11.333,23.37,61.58,1.16.3,Free_feed,2,4.17,NaN,0,PelletInWell,Left,2,1,7,0,NaN,NaN,NaN
02/27/2025 09:48:11.839,23.38,61.54,1.16.3,Free_feed,2,4.18,2,0,Pellet,Left,2,1,8,0,0.48,8,NaN
02/27/2025 09:48:15.353,23.36,61.52,1.16.3,Free_feed,2,4.18,NaN,0,LeftinTimeOut,Left,3,1,8,0,NaN,NaN,NaN
02/27/2025 09:48:18.156,23.37,61.54,1.16.3,Free_feed,2,4.18,NaN,0,PelletInWell,Left,3,1,8,0,NaN,NaN,NaN
02/27/2025 09:48:20.139,23.39,61.53,1.16.3,Free_feed,2,4.18,1,0,Pellet,Left,3,1,9,0,1.92,8,NaN
02/27/2025 09:48:26.760,23.36,61.46,1.16.3,Free_feed,2,4.18,NaN,0,PelletInWell,Left,3,1,9,0,NaN,NaN,NaN
02/27/2025 09:48:28.668,23.36,61.44,1.16.3,Free_feed,2,4.18,1,0,Pellet,Left,3,1,10,0,1.78,9,NaN
02/27/2025 09:48:37.190,23.36,61.29,1.16.3,Free_feed,2,4.17,NaN,0,PelletInWell,Left,3,1,10,0,NaN,NaN,NaN
02/27/2025 11:05:17.041,22.79,63.71,1.16.3,Free_feed,2,4.17,2,0,Pellet,Left,3,1,11,0,Timed_out,4609,NaN
02/27/2025 11:05:23.556,22.79,63.75,1.16.3,Free_feed,2,4.17,NaN,0,PelletInWell,Left,3,1,11,0,NaN,NaN,NaN
02/27/2025 11:05:28.729,22.79,63.78,1.16.3,Free_feed,2,4.17,1,0,Pellet,Left,3,1,12,0,5.13,11,NaN
02/27/2025 11:05:35.320,22.80,63.78,1.16.3,Free_feed,2,4.17,NaN,0,PelletInWell,Left,3,1,12,0,NaN,NaN,NaN
02/27/2025 11:05:37.856,22.78,63.77,1.16.3,Free_feed,2,4.17,1,0,Pellet,Left,3,1,13,0,2.47,10,NaN
02/27/2025 11:05:51.195,22.78,63.86,1.16.3,Free_feed,2,4.17,NaN,0,PelletInWell,Left,3,1,13,0,NaN,NaN,NaN
02/27/2025 11:05:53.914,22.80,63.86,1.16.3,Free_feed,2,4.17,5,0,Pellet,Left,3,1,14,0,2.74,16,NaN
