MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
02/27/2025 09:13:02.685,23.27,61.57,1.16.3,Free_feed,9,4.24,NaN,0,LeftWithPellet,Left,2,4,0,0,NaN,NaN,0.23
02/27/2025 09:13:09.801,23.27,61.61,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,2,5,0,0,NaN,NaN,0.89
02/27/2025 09:13:10.365,23.28,61.63,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,2,6,0,0,NaN,NaN,0.11
02/27/2025 09:13:11.468,23.29,61.62,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,2,7,0,0,NaN,NaN,0.06
02/27/2025 09:13:12.061,23.28,61.61,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,2,8,0,0,NaN,NaN,0.03
02/27/2025 09:13:22.584,23.27,61.59,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,2,9,0,0,NaN,NaN,0.39
02/27/2025 09:13:23.325,23.30,61.60,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,2,10,0,0,NaN,NaN,0.30
02/27/2025 09:13:24.828,23.29,61.57,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,2,11,0,0,NaN,NaN,0.94
02/27/2025 09:13:25.535,23.29,61.57,1.16.3,Free_feed,9,4.24,NaN,0,RightWithPellet,Left,2,12,0,0,NaN,NaN,0.08
02/27/2025 09:13:27.441,23.29,61.53,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,2,13,0,0,NaN,NaN,0.18
02/27/2025 09:13:28.389,23.28,61.54,1.16.3,Free_feed,9,4.25,NaN,0,RightWithPellet,Left,2,14,0,0,NaN,NaN,0.50
