MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
02/28/2025 10:30:58.305,22.99,62.44,1.16.3,Free_feed,3,4.21,NaN,0,RightWithPellet,Left,43,57,296,0,NaN,NaN,0.15
02/28/2025 10:31:01.040,22.99,62.42,1.16.3,Free_feed,3,4.22,1,0,Pellet,Left,43,57,297,0,Timed_out,7114,NaN
02/28/2025 10:31:09.559,22.97,62.48,1.16.3,Free_feed,3,4.21,NaN,0,PelletInWell,Left,43,57,297,0,NaN,NaN,NaN
02/28/2025 10:31:17.126,22.97,62.47,1.16.3,Free_feed,3,4.21,2,0,Pellet,Left,43,57,298,0,7.55,16,NaN
02/28/2025 10:31:23.490,22.98,62.54,1.16.3,Free_feed,3,4.22,NaN,0,PelletInWell,Left,43,57,298,0,NaN,NaN,NaN
02/28/2025 10:32:58.199,22.95,62.49,1.16.3,Free_feed,3,4.21,NaN,0,LeftWithPellet,Left,44,57,298,0,NaN,NaN,0.53
02/28/2025 10:33:59.209,22.97,62.50,1.16.3,Free_feed,3,4.22,1,0,Pellet,Left,44,57,299,0,Timed_out,162,NaN
02/28/2025 10:34:05.560,22.97,62.45,1.16.3,Free_feed,3,4.21,NaN,0,PelletInWell,Left,44,57,299,0,NaN,NaN,NaN
02/28/2025 11:10:38.339,22.96,61.84,1.16.3,Free_feed,3,4.22,1,0,Pellet,Left,44,57,300,0,Timed_out,2200,NaN
02/28/2025 11:10:44.696,22.97,61.90,1.16.3,Free_feed,3,4.21,NaN,0,PelletInWell,Left,44,57,300,0,NaN,NaN,NaN
02/28/2025 11:11:17.858,22.96,62.01,1.16.3,Free_feed,3,4.21,1,0,Pellet,Left,44,57,301,0,33.11,39,NaN
02/28/2025 11:11:24.212,22.95,62.01,1.16.3,Free_feed,3,4.21,NaN,0,PelletInWell,Left,44,57,301,0,NaN,NaN,NaN
02/28/2025 11:11:27.122,22.95,62.07,1.16.3,Free_feed,3,4.22,1,0,Pellet,Left,44,57,302,0,2.75,10,NaN
02/28/2025 11:11:33.439,22.97,61.98,1.16.3,Free_feed,3,4.22,NaN,0,PelletInWell,Left,44,57,302,0,NaN,NaN,NaN
02/28/2025 11:11:39.383,22.96,62.08,1.16.3,Free_feed,3,4.22,1,0,Pellet,Left,44,57,303,0,5.90,12,NaN
02/28/2025 11:11:45.709,22.95,62.01,1.16.3,Free_feed,3,4.22,NaN,0,PelletInWell,Left,44,57,303,0,NaN,NaN,NaN
02/28/2025 11:11:51.623,22.96,62.00,1.16.3,Free_feed,3,4.22,1,0,Pellet,Left,44,57,304,0,5.83,12,NaN
02/28/2025 11:12:02.145,22.95,62.00,1.16.3,Free_feed,3,4.21,NaN,0,PelletInWell,Left,44,57,304,0,NaN,NaN,NaN
