MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
03/04/2025 10:40:17.087,22.45,66.12,1.16.3,Free_feed,16,4.20,1,0,Pellet,Left,1,0,1,0,Timed_out,NaN,NaN
03/04/2025 10:40:23.415,22.46,66.19,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,1,0,1,0,NaN,NaN,NaN
03/04/2025 10:40:28.935,22.45,66.20,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,1,0,2,0,5.45,12,NaN
03/04/2025 10:40:35.352,22.45,66.13,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,1,0,2,0,NaN,NaN,NaN
03/04/2025 10:40:50.716,22.46,66.13,1.16.3,Free_feed,16,4.19,NaN,0,RightWithPellet,Left,1,1,2,0,NaN,NaN,0.14
03/04/2025 10:40:52.319,22.46,66.10,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,1,1,3,0,16.90,23,NaN
03/04/2025 10:40:58.671,22.44,66.08,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,1,1,3,0,NaN,NaN,NaN
03/04/2025 10:41:08.458,22.47,66.20,1.16.3,Free_feed,16,4.19,NaN,0,RightWithPellet,Left,1,2,3,0,NaN,NaN,0.42
03/04/2025 10:41:12.370,22.48,66.19,1.16.3,Free_feed,16,4.18,NaN,0,LeftWithPellet,Left,2,2,3,0,NaN,NaN,0.01
03/04/2025 10:41:13.475,22.49,66.17,1.16.3,Free_feed,16,4.19,NaN,0,LeftWithPellet,Left,3,2,3,0,NaN,NaN,0.77
03/04/2025 10:41:14.784,22.48,66.15,1.16.3,Free_feed,16,4.19,NaN,0,LeftWithPellet,Left,4,2,3,0,NaN,NaN,0.80
03/04/2025 10:41:15.354,22.50,66.15,1.16.3,Free_feed,16,4.20,NaN,0,LeftWithPellet,Left,5,2,3,0,NaN,NaN,0.20
03/04/2025 10:41:29.886,22.49,66.13,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,4,0,31.10,38,NaN
03/04/2025 10:41:36.211,22.49,66.06,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,4,0,NaN,NaN,NaN
03/04/2025 10:41:42.008,22.49,66.10,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,5,0,5.79,12,NaN
03/04/2025 10:41:48.378,22.51,66.17,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,5,0,NaN,NaN,NaN
03/04/2025 11:24:40.713,22.36,66.52,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,6,0,Timed_out,2579,NaN
03/04/2025 11:24:46.927,22.35,66.33,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,6,0,NaN,NaN,NaN
03/04/2025 11:24:50.671,22.37,66.27,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,7,0,3.67,10,NaN
03/04/2025 11:24:56.990,22.38,66.51,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,7,0,NaN,NaN,NaN
03/04/2025 11:25:17.343,22.33,66.44,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,8,0,20.27,26,NaN
03/04/2025 11:25:23.137,22.33,66.35,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,8,0,NaN,NaN,NaN
03/04/2025 11:25:33.658,22.34,66.49,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,9,0,10.39,17,NaN
03/04/2025 11:25:39.986,22.34,66.44,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,9,0,NaN,NaN,NaN
03/04/2025 11:26:57.044,22.34,66.46,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,10,0,Timed_out,83,NaN
03/04/2025 11:27:03.362,22.36,66.43,1.16.3,Free_feed,16,4.18,NaN,0,PelletInWell,Left,5,2,10,0,NaN,NaN,NaN
03/04/2025 11:27:09.277,22.37,66.44,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,2,11,0,5.87,12,NaN
03/04/2025 11:27:15.667,22.37,66.47,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,2,11,0,NaN,NaN,NaN
03/04/2025 11:31:34.922,22.40,66.38,1.16.3,Free_feed,16,4.19,NaN,0,RightWithPellet,Left,5,3,11,0,NaN,NaN,0.95
03/04/2025 11:31:35.725,22.42,66.35,1.16.3,Free_feed,16,4.19,NaN,0,RightWithPellet,Left,5,4,11,0,NaN,NaN,0.32
03/04/2025 11:31:49.139,22.41,66.37,1.16.3,Free_feed,16,4.20,1,0,Pellet,Left,5,4,12,0,Timed_out,280,NaN
03/04/2025 11:31:55.453,22.39,66.38,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,4,12,0,NaN,NaN,NaN
03/04/2025 11:56:59.124,22.36,66.68,1.16.3,Free_feed,16,4.19,1,0,Pellet,Left,5,4,13,0,Timed_out,1510,NaN
03/04/2025 11:57:07.649,22.36,66.84,1.16.3,Free_feed,16,4.19,NaN,0,PelletInWell,Left,5,4,13,0,NaN,NaN,NaN
03/04/2025 11:57:11.852,22.35,66.69,1.16.3,Free_feed,16,4.20,2,0,Pellet,Left,5,4,14,0,4.22,13,NaN
