MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
03/02/2025 11:03:01.228,23.42,60.10,1.16.3,Free_feed,12,4.25,3,0,Pellet,Left,27,30,250,0,Timed_out,3009,NaN
03/02/2025 11:03:07.820,23.45,60.06,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,250,0,NaN,NaN,NaN
03/02/2025 11:03:17.753,23.44,59.99,1.16.3,Free_feed,12,4.25,2,0,Pellet,Left,27,30,251,0,9.87,17,NaN
03/02/2025 11:03:26.337,23.43,59.97,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,251,0,NaN,NaN,NaN
03/02/2025 11:24:18.888,23.08,60.20,1.16.3,Free_feed,12,4.25,2,0,Pellet,Left,27,30,252,0,Timed_out,1261,NaN
03/02/2025 11:24:25.205,23.10,60.13,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,252,0,NaN,NaN,NaN
03/02/2025 11:24:27.603,23.11,60.12,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,30,253,0,2.33,9,NaN
03/02/2025 11:24:33.519,23.09,60.10,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,253,0,NaN,NaN,NaN
03/02/2025 11:24:34.269,23.10,60.12,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,30,254,0,0.76,6,NaN
03/02/2025 11:24:40.684,23.09,60.11,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,254,0,NaN,NaN,NaN
03/02/2025 11:38:03.126,23.01,60.25,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,30,255,0,Timed_out,809,NaN
03/02/2025 11:38:09.443,22.98,60.20,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,255,0,NaN,NaN,NaN
03/02/2025 11:55:02.482,22.93,60.27,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,30,256,0,Timed_out,1020,NaN
03/02/2025 11:55:08.889,22.93,60.27,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,30,256,0,NaN,NaN,NaN
03/02/2025 11:59:38.484,22.96,60.16,1.16.3,Free_feed,12,4.25,NaN,0,RightWithPellet,Left,27,31,256,0,NaN,NaN,1.01
03/02/2025 11:59:41.054,22.94,60.18,1.16.3,Free_feed,12,4.25,NaN,0,RightWithPellet,Left,27,32,256,0,NaN,NaN,0.63
03/02/2025 12:02:09.035,22.94,60.47,1.16.3,Free_feed,12,4.25,NaN,0,RightWithPellet,Left,27,33,256,0,NaN,NaN,0.28
03/02/2025 12:02:09.570,22.94,60.47,1.16.3,Free_feed,12,4.25,NaN,0,RightWithPellet,Left,27,34,256,0,NaN,NaN,0.06
03/02/2025 12:03:58.060,22.93,60.59,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,34,257,0,Timed_out,535,NaN
03/02/2025 12:04:04.026,22.94,60.55,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,34,257,0,NaN,NaN,NaN
03/02/2025 12:04:04.328,22.97,60.61,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,34,258,0,0.28,7,NaN
03/02/2025 12:04:10.642,22.93,60.60,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,34,258,0,NaN,NaN,NaN
03/02/2025 12:04:21.250,22.94,60.52,1.16.3,Free_feed,12,4.24,1,0,Pellet,Left,27,34,259,0,10.63,17,NaN
03/02/2025 12:04:29.646,22.94,60.51,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,34,259,0,NaN,NaN,NaN
03/02/2025 12:04:40.971,22.93,60.60,1.16.3,Free_feed,12,4.25,2,0,Pellet,Left,27,34,260,0,11.17,19,NaN
03/02/2025 12:04:47.297,22.94,60.60,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,34,260,0,NaN,NaN,NaN
03/02/2025 12:04:55.093,22.94,60.60,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,34,261,0,7.74,14,NaN
03/02/2025 12:05:01.479,22.93,60.54,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,34,261,0,NaN,NaN,NaN
03/02/2025 12:05:15.808,22.94,60.55,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,27,34,262,0,14.20,21,NaN
03/02/2025 12:05:22.121,22.91,60.54,1.16.3,Free_feed,12,4.25,NaN,0,PelletInWell,Left,27,34,262,0,NaN,NaN,NaN
03/02/2025 12:05:25.520,22.93,60.57,1.16.3,Free_feed,12,4.25,NaN,0,RightWithPellet,Left,27,35,262,0,NaN,NaN,0.06
03/02/2025 12:06:56.998,22.94,60.67,1.16.3,Free_feed,12,4.24,NaN,0,LeftWithPellet,Left,28,35,262,0,NaN,NaN,0.50
03/02/2025 12:14:39.552,22.95,61.19,1.16.3,Free_feed,12,4.25,1,0,Pellet,Left,28,35,263,0,Timed_out,564,NaN
