MM/DD/YYYY hh:mm:ss.SSS,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
03/04/2025 10:39:22.954,22.65,64.59,1.16.3,Free_feed,13,4.27,2,0,Pellet,Left,100,75,268,0,Timed_out,6597,NaN
03/04/2025 10:39:29.471,22.66,64.58,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,100,75,268,0,NaN,NaN,NaN
03/04/2025 10:39:33.985,22.66,64.57,1.16.3,Free_feed,13,4.26,1,0,Pellet,Left,100,75,269,0,4.50,11,NaN
03/04/2025 10:39:40.339,22.64,64.62,1.16.3,Free_feed,13,4.27,NaN,0,PelletInWell,Left,100,75,269,0,NaN,NaN,NaN
03/04/2025 10:39:57.104,22.65,64.64,1.16.3,Free_feed,13,4.26,1,0,Pellet,Left,100,75,270,0,16.64,23,NaN
03/04/2025 10:40:03.514,22.63,64.58,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,100,75,270,0,NaN,NaN,NaN
03/04/2025 10:40:22.271,22.61,64.49,1.16.3,Free_feed,13,4.27,1,0,Pellet,Left,100,75,271,0,18.69,26,NaN
03/04/2025 10:40:28.792,22.61,64.55,1.16.3,Free_feed,13,4.27,NaN,0,PelletInWell,Left,100,75,271,0,NaN,NaN,NaN
03/04/2025 10:40:36.748,22.61,64.61,1.16.3,Free_feed,13,4.26,1,0,Pellet,Left,100,75,272,0,7.98,14,NaN
03/04/2025 10:40:43.118,22.60,64.59,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,100,75,272,0,NaN,NaN,NaN
03/04/2025 10:40:45.831,22.60,64.57,1.16.3,Free_feed,13,4.27,1,0,Pellet,Left,100,75,273,0,2.64,9,NaN
03/04/2025 10:40:52.206,22.64,64.58,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,100,75,273,0,NaN,NaN,NaN
03/04/2025 10:50:33.001,22.63,64.80,1.16.3,Free_feed,13,4.27,NaN,0,RightWithPellet,Left,100,76,273,0,NaN,NaN,0.52
03/04/2025 11:48:48.304,22.54,64.96,1.16.3,Free_feed,13,4.26,NaN,0,LeftWithPellet,Left,101,76,273,0,NaN,NaN,0.19
03/04/2025 11:48:51.817,22.52,64.92,1.16.3,Free_feed,13,4.27,1,0,Pellet,Left,101,76,274,0,Timed_out,4086,NaN
03/04/2025 11:48:58.341,22.53,64.94,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,101,76,274,0,NaN,NaN,NaN
03/04/2025 11:49:02.052,22.53,64.90,1.16.3,Free_feed,13,4.26,1,0,Pellet,Left,101,76,275,0,3.67,11,NaN
03/04/2025 11:49:08.477,22.54,64.88,1.16.3,Free_feed,13,4.27,NaN,0,PelletInWell,Left,101,76,275,0,NaN,NaN,NaN
03/04/2025 11:49:14.798,22.53,64.88,1.16.3,Free_feed,13,4.27,1,0,Pellet,Left,101,76,276,0,6.20,12,NaN
03/04/2025 11:49:26.933,22.54,64.88,1.16.3,Free_feed,13,4.27,NaN,0,PelletInWell,Left,101,76,276,0,NaN,NaN,NaN
03/04/2025 11:51:08.664,22.51,64.90,1.16.3,Free_feed,13,4.26,NaN,0,RightWithPellet,Left,101,77,276,0,NaN,NaN,0.05
03/04/2025 12:07:41.946,22.48,64.94,1.16.3,Free_feed,13,4.26,4,0,Pellet,Left,101,77,277,0,Timed_out,1108,NaN
03/04/2025 12:07:48.470,22.49,64.86,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,101,77,277,0,NaN,NaN,NaN
03/04/2025 12:11:05.343,22.47,64.90,1.16.3,Free_feed,13,4.25,NaN,0,LeftWithPellet,Left,102,77,277,0,NaN,NaN,0.30
03/04/2025 12:11:08.741,22.47,64.89,1.16.3,Free_feed,13,4.26,NaN,0,LeftWithPellet,Left,103,77,277,0,NaN,NaN,0.30
03/04/2025 12:17:51.818,22.50,65.36,1.16.3,Free_feed,13,4.26,NaN,0,RightWithPellet,Left,103,78,277,0,NaN,NaN,0.66
03/04/2025 12:17:55.325,22.50,65.32,1.16.3,Free_feed,13,4.26,2,0,Pellet,Left,103,78,278,0,Timed_out,613,NaN
03/04/2025 12:18:07.459,22.49,65.24,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,103,78,278,0,NaN,NaN,NaN
03/04/2025 12:18:17.246,22.52,65.26,1.16.3,Free_feed,13,4.26,4,0,Pellet,Left,103,78,279,0,9.77,22,NaN
03/04/2025 12:18:23.562,22.52,65.24,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,103,78,279,0,NaN,NaN,NaN
03/04/2025 12:18:27.272,22.51,65.27,1.16.3,Free_feed,13,4.27,1,0,Pellet,Left,103,78,280,0,3.67,10,NaN
03/04/2025 12:18:33.620,22.52,65.31,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,103,78,280,0,NaN,NaN,NaN
03/04/2025 12:18:42.144,22.50,65.37,1.16.3,Free_feed,13,4.25,1,0,Pellet,Left,103,78,281,0,8.40,15,NaN
03/04/2025 12:18:50.664,22.51,65.34,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,103,78,281,0,NaN,NaN,NaN
03/04/2025 12:18:51.619,22.52,65.34,1.16.3,Free_feed,13,4.26,NaN,0,RightWithPellet,Left,103,79,281,0,NaN,NaN,0.03
03/04/2025 12:18:52.132,22.53,65.34,1.16.3,Free_feed,13,4.26,NaN,0,RightWithPellet,Left,103,80,281,0,NaN,NaN,0.05
03/04/2025 12:32:36.456,22.73,65.83,1.16.3,Free_feed,13,4.26,NaN,0,RightWithPellet,Left,103,81,281,0,NaN,NaN,0.00
03/04/2025 12:32:37.428,22.73,65.80,1.16.3,Free_feed,13,4.27,2,0,Pellet,Left,103,81,282,0,Timed_out,835,NaN
03/04/2025 12:32:43.947,22.73,65.75,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,103,81,282,0,NaN,NaN,NaN
03/04/2025 12:32:45.253,22.73,65.77,1.16.3,Free_feed,13,4.26,1,0,Pellet,Left,103,81,283,0,1.27,8,NaN
03/04/2025 12:32:53.782,22.73,65.76,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,103,81,283,0,NaN,NaN,NaN
03/04/2025 12:32:55.689,22.72,65.78,1.16.3,Free_feed,13,4.27,2,0,Pellet,Left,103,81,284,0,1.82,11,NaN
03/04/2025 12:33:02.205,22.73,65.74,1.16.3,Free_feed,13,4.25,NaN,0,PelletInWell,Left,103,81,284,0,NaN,NaN,NaN
03/04/2025 12:35:40.094,22.78,65.70,1.16.3,Free_feed,13,4.27,NaN,0,RightWithPellet,Left,103,82,284,0,NaN,NaN,0.34
03/04/2025 12:35:42.603,22.76,65.72,1.16.3,Free_feed,13,4.26,NaN,0,RightWithPellet,Left,103,83,284,0,NaN,NaN,0.36
03/04/2025 12:44:32.565,22.88,65.58,1.16.3,Free_feed,13,4.27,NaN,0,LeftWithPellet,Left,104,83,284,0,NaN,NaN,0.60
03/04/2025 12:46:02.677,22.89,65.57,1.16.3,Free_feed,13,4.26,2,0,Pellet,Left,104,83,285,0,Timed_out,787,NaN
03/04/2025 12:46:09.447,22.90,65.60,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,104,83,285,0,NaN,NaN,NaN
03/04/2025 12:46:11.553,22.91,65.62,1.16.3,Free_feed,13,4.26,2,0,Pellet,Left,104,83,286,0,1.96,8,NaN
03/04/2025 12:46:18.077,22.89,65.67,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,104,83,286,0,NaN,NaN,NaN
03/04/2025 12:46:18.980,22.91,65.69,1.16.3,Free_feed,13,4.26,2,0,Pellet,Left,104,83,287,0,0.80,8,NaN
03/04/2025 12:46:25.495,22.90,65.77,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,104,83,287,0,NaN,NaN,NaN
03/04/2025 12:48:01.980,22.89,65.67,1.16.3,Free_feed,13,4.27,2,0,Pellet,Left,104,83,288,0,Timed_out,103,NaN
03/04/2025 12:48:08.357,22.90,65.70,1.16.3,Free_feed,13,4.26,NaN,0,PelletInWell,Left,104,83,288,0,NaN,NaN,NaN
